STATION,STATION_NAME,DATE,HPCP
COOP:234273,JEFFERSON BARRACKS MO US,20050322 13:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050322 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050322 15:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050323 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050323 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050325 04:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050325 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050327 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050401 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050412 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050412 01:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050412 17:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050412 18:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050412 19:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050412 20:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050420 15:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050420 18:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050421 04:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050421 19:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050421 20:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050421 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050422 01:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050422 02:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050423 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050425 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050426 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050426 02:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050426 11:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050428 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050428 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050429 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050430 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050501 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050503 10:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050503 11:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050514 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050514 08:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050520 00:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050522 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050522 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050601 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050604 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050608 18:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050608 20:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050609 20:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20050609 21:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050611 18:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050612 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050613 19:00,1.20
